=== Elevator Baseline Simulation Summary ===
Total Time: 16289.57 s
Total Energy: 17752843.95 J
Total Objective Cost: 34042.41

Elevator 1 Queue:
  Req#247: 12 → 1, load=81.7kg
  Req#248: 6 → 1, load=101.4kg
  Req#249: 14 → 1, load=101.9kg
  Req#250: 7 → 1, load=148.9kg
  Req#108: 14 → 11, load=72.8kg
  Req#93: 1 → 14, load=61.9kg
  Req#132: 12 → 1, load=72.7kg
  Req#15: 2 → 1, load=63.7kg
  Req#69: 14 → 1, load=108.3kg
  Req#7: 11 → 1, load=65.9kg
  Req#20: 10 → 9, load=55.5kg
  Req#114: 1 → 15, load=77.7kg
  Req#49: 1 → 6, load=63.1kg
  Req#36: 1 → 3, load=92.5kg
  Req#106: 1 → 10, load=78.0kg
  Req#117: 7 → 1, load=63.5kg
  Req#126: 1 → 8, load=89.7kg
  Req#57: 11 → 1, load=109.8kg
  Req#116: 8 → 1, load=65.1kg
  Req#91: 13 → 1, load=60.2kg
  Req#6: 1 → 14, load=70.2kg
  Req#127: 1 → 8, load=99.3kg
  Req#79: 10 → 7, load=106.4kg
  Req#68: 11 → 10, load=58.9kg
  Req#112: 15 → 1, load=78.0kg
  Req#61: 3 → 1, load=106.3kg
  Req#1: 1 → 6, load=64.7kg
  Req#128: 12 → 15, load=77.6kg
  Req#101: 10 → 1, load=76.8kg
  Req#27: 4 → 1, load=72.4kg
  Req#82: 3 → 8, load=104.0kg
  Req#39: 1 → 9, load=98.4kg
  Req#123: 8 → 1, load=106.5kg
  Req#75: 15 → 1, load=78.2kg
  Req#33: 10 → 14, load=93.8kg
  Req#19: 1 → 11, load=74.0kg
  Req#14: 1 → 12, load=91.3kg
  Req#110: 14 → 1, load=86.2kg
  Req#37: 1 → 7, load=54.3kg
  Req#29: 1 → 15, load=98.4kg
  Req#13: 4 → 1, load=82.0kg
  Req#118: 2 → 14, load=51.9kg
  Req#139: 1 → 9, load=66.3kg
  Req#25: 1 → 13, load=102.6kg
  Req#63: 1 → 12, load=88.1kg
  Req#80: 4 → 11, load=107.8kg
  Req#103: 9 → 1, load=87.6kg
  Req#62: 1 → 10, load=59.3kg
  Req#8: 1 → 8, load=54.7kg
  Req#24: 1 → 12, load=70.4kg
  Req#26: 1 → 3, load=102.2kg
  Req#59: 1 → 15, load=82.6kg
  Req#137: 1 → 8, load=91.5kg
  Req#122: 1 → 11, load=51.5kg
  Req#54: 1 → 11, load=83.9kg
  Req#86: 1 → 6, load=90.0kg
  Req#95: 11 → 5, load=93.1kg
  Req#55: 7 → 1, load=64.3kg
  Req#78: 6 → 7, load=88.5kg
  Req#41: 12 → 1, load=55.9kg
  Req#88: 11 → 1, load=84.1kg
  Req#73: 7 → 1, load=96.9kg
  Req#2: 10 → 1, load=55.2kg
  Req#84: 12 → 1, load=61.8kg
  Req#81: 1 → 13, load=97.2kg
  Req#136: 12 → 1, load=92.7kg
  Req#131: 1 → 3, load=66.7kg
  Req#94: 1 → 15, load=96.1kg
  Req#119: 11 → 4, load=64.3kg
  Req#30: 3 → 1, load=55.1kg
  Req#135: 1 → 5, load=93.2kg
  Req#28: 10 → 2, load=85.9kg
  Req#51: 4 → 1, load=53.4kg
  Req#90: 1 → 9, load=90.5kg
  Req#42: 5 → 1, load=61.5kg
  Req#83: 1 → 10, load=105.5kg
  Req#18: 1 → 5, load=94.7kg
  Req#67: 13 → 1, load=104.2kg
  Req#48: 1 → 13, load=109.7kg
  Req#134: 13 → 1, load=102.8kg
  Req#99: 12 → 1, load=81.9kg
  Req#66: 10 → 1, load=92.3kg
  Req#3: 1 → 10, load=86.1kg
  Req#16: 1 → 5, load=104.8kg
  Req#89: 6 → 5, load=75.8kg
  Req#50: 1 → 7, load=53.4kg
  Req#35: 1 → 3, load=70.3kg
  Req#4: 8 → 1, load=63.2kg
  Req#130: 1 → 8, load=99.5kg
  Req#53: 11 → 1, load=64.8kg
  Req#21: 14 → 1, load=90.8kg
  Req#32: 4 → 6, load=81.7kg
  Req#64: 15 → 1, load=53.0kg
  Req#65: 2 → 7, load=96.3kg
  Req#44: 10 → 1, load=55.9kg
  Req#31: 14 → 1, load=57.5kg
  Req#113: 1 → 8, load=85.5kg
  Req#60: 14 → 12, load=81.7kg
  Req#111: 1 → 2, load=73.3kg
  Req#23: 2 → 12, load=93.2kg
  Req#107: 8 → 14, load=85.0kg
  Req#5: 2 → 14, load=98.3kg
  Req#9: 7 → 1, load=84.6kg
  Req#105: 1 → 8, load=91.6kg
  Req#100: 9 → 1, load=86.8kg
  Req#96: 1 → 13, load=50.3kg
